	a	b	c	d	e	f	g	h	i	j	k
0	0.013791050527806952	0.09136512791202853	0.11743530358374756	0.7145719929617504	0.730039993046823	0.015336445257081334	0.09541951002400947	0.12384040236159334	0.6874065638086395	0.7053328856437325	221.0
1	0.013116616910747916	0.08756895165203529	0.11452779972892134	0.736775433095258	0.7479800140836699	0.01284915643207534	0.08612793850681495	0.11335411960787019	0.7351780338595535	0.7429062525119352	231.0
2	0.013000068560685422	0.0879133548430984	0.11401784316801218	0.7572266243421514	0.7712392120623748	0.013951930360979496	0.09057583201608935	0.11811828969714849	0.7197166411470206	0.7351310069296877	226.0
3	0.01358482210977002	0.08576930334088066	0.11655394506309093	0.6992823853107922	0.7102826825131838	0.013149347251511468	0.08471133281062718	0.11467060325781611	0.6938762204446589	0.7038895278255848	232.0
4	0.012307336865559194	0.0818078899732858	0.11093843727743416	0.7485909684560762	0.7514225783710822	0.011999511050344193	0.08072503431514429	0.10954227973866618	0.7556072269067533	0.758314078674778	225.0
5	0.01833726611951205	0.09895211189300025	0.13541516207394227	0.4989610203132372	0.5072441245899117	0.017137445395125083	0.09676593664786264	0.13091006605729402	0.5507695545347859	0.5607058065600257	230.0
6	0.012683811849334922	0.08327664826996115	0.11262243048937863	0.7305393412245968	0.7333271579777478	0.012612965096089106	0.08276454859004187	0.11230745788276532	0.7329401057299569	0.7340860600294457	233.0
7	0.013707678058535943	0.08585445852230726	0.1170797935535246	0.6866211969343288	0.6931001951654703	0.012792067760057044	0.08381713615976087	0.11310202367799192	0.7192399028541772	0.7253658373634051	212.0
8	0.016156867199511486	0.09265765793467937	0.12710966603493018	0.5966232807619334	0.6354330072550436	0.015630156567846862	0.09105987312650472	0.1250206245698959	0.604549247563779	0.6357832750209419	197.0
9	0.01649373750760119	0.09450695625586371	0.1284279467545954	0.6468236739601234	0.6535116440541289	0.016688286847047935	0.09463444643844142	0.12918315233438118	0.6501579697863682	0.6558776025281157	222.0
10	0.013207721618502616	0.08429129595164439	0.11492485204907864	0.7061096036919289	0.7116005841645912	0.012030693435950804	0.08062925659129254	0.10968451775866457	0.7445601040649259	0.7493907494084415	228.0
11	0.012233338221935034	0.08288929470543141	0.11060442225306832	0.776664460899847	0.7782860654017102	0.012325940352881818	0.08383640243330524	0.11102225161147569	0.7723463481207338	0.7755008060365531	251.0
12	0.012940724747674359	0.08561116482269741	0.11375730634853463	0.7061646848883465	0.70761323768573	0.013021849501345174	0.08486873795508482	0.11411331868517878	0.7290577024357159	0.7301038484635969	233.0
13	0.013064794806728069	0.08386504401312618	0.1143013333549879	0.7390580036553773	0.7518969659901905	0.0132775226634311	0.08463959593093628	0.11522813312481939	0.7360354621336052	0.7476392247616024	228.0
14	0.012564529066513532	0.08708345229512349	0.11209161015220333	0.7116849895055521	0.7198874509526751	0.0124905032061994	0.08688649783825834	0.11176091985215315	0.7430478764372235	0.7541624820517672	220.0
15	0.01229990001774864	0.082630875181323	0.11090491430837787	0.7448283399030164	0.7448315403052359	0.01254616994865546	0.08357678679036114	0.11200968685187661	0.751188501543415	0.7512198979920285	215.0
16	0.014406187808725601	0.09217158921505982	0.12002577976720502	0.7103079102826059	0.728580048415068	0.014136855111343546	0.09161488377643584	0.11889850760772208	0.6980432825394711	0.7184779628354575	198.0
17	0.014632642232840713	0.08814656250582253	0.12096545884193849	0.6747128827916637	0.6880636421010073	0.013874745510690373	0.08602357910573202	0.11779110964198602	0.6989338514503954	0.708349774174897	178.0
18	0.013217859677675766	0.08507746580391802	0.1149689509288302	0.7123834205715864	0.7192917636668628	0.01311644827658962	0.08464190356090338	0.11452706351159808	0.7172396699926835	0.7230671991442112	192.0
19	0.01231158550951375	0.08539489003073825	0.11095758428117364	0.7581522201734268	0.7684878227369788	0.013351729544547074	0.08809051268120849	0.1155496843117586	0.7217920612543618	0.7280781218670287	191.0
20	0.0148782984826002	0.08985356810620115	0.12197663088723265	0.660846867238088	0.6787430382469632	0.014005630666753708	0.08771157335042233	0.11834538717987156	0.6915650087379135	0.7055861491003719	206.0
