date,final,a,b,c,d,a1,b1,c1,d1,a2,b2,c2,d2,a3,b3,c3,d3
2009070213,0.058,-0.3,104.02,1.22,0.24,-0.82,163.57,0.85,1.18,-0.68,119.98,1.36,1.51,-1.51,135.01,2.14,1.18
2009070214,0.085,-0.25,99.44,1.51,0.21,-0.97,167.74,1,1.45,-0.71,116.12,1.62,1.93,-1.89,134.43,2.7,1.49
2009070215,0.085,-0.37,100.6,2.02,0.48,-1.16,157.49,1.26,1.94,-0.95,116.19,2.16,2.45,-2.28,132.82,3.35,1.98
2009070216,0.116,-0.77,106.2,2.76,1.22,-1.49,140.7,1.92,2.65,-1.53,119.98,3.06,3.05,-2.66,131.05,4.05,2.65
2009070217,0.143,-1.37,111.99,3.66,2.24,-1.92,130.52,2.95,3.45,-2.26,123.31,4.12,3.68,-3.04,129.51,4.77,3.39
2009070218,0.175,-2.04,116.67,4.55,3.3,-2.38,125.85,4.07,4.16,-2.92,125.07,5.08,4.31,-3.41,128.36,5.5,4.07
2009070219,0.175,-2.68,120.37,5.3,4.16,-2.82,124.13,5.02,4.65,-3.3,125.42,5.7,4.9,-3.78,127.61,6.19,4.57
2009070220,0.201,-3.21,123.29,5.85,4.74,-3.16,123.71,5.7,4.91,-3.45,125.06,6,5.36,-4.05,127.07,6.71,4.89
2009070221,0.222,-3.59,125.43,6.19,5,-3.36,123.91,6.03,4.99,-3.44,124.54,6.06,5.57,-4.12,126.52,6.93,5.04
2009070222,0.291,-3.76,126.81,6.27,4.92,-3.38,124.47,5.97,4.92,-3.34,124.21,5.95,5.46,-3.95,125.85,6.74,5.02
2009070223,0.444,-3.73,127.81,6.08,4.59,-3.25,125.33,5.62,4.7,-3.2,124.28,5.69,5.06,-3.6,125.38,6.21,4.8
2009070300,0.386,-3.5,128.85,5.58,4.11,-3.04,126.47,5.11,4.33,-3.03,125,5.29,4.42,-3.18,125.74,5.45,4.34
2009070301,0.397,-2.78,127.79,4.54,3.82,-2.84,126.59,4.76,3.61,-2.8,127.73,4.57,3.99,-3.39,130.32,5.23,3.59
2009070302,0.296,-2.49,128.95,3.97,3.24,-2.59,128.63,4.15,2.8,-2.43,130.97,3.7,3.69,-3.27,131.51,4.93,3.09
2009070303,0.259,-2.17,129.28,3.43,2.67,-2.25,130.12,3.49,2.15,-2.04,133.54,2.96,3.42,-2.99,131.16,4.54,2.65
2009070304,0.206,-1.82,127.94,2.95,2.18,-1.8,129.67,2.83,1.8,-1.63,132.11,2.42,3.17,-2.61,129.47,4.11,2.33
2009070305,0.122,-1.49,125.07,2.59,1.8,-1.37,127.35,2.27,1.66,-1.25,126.96,2.08,2.96,-2.23,127.02,3.71,2.12
2009070306,0.101,-1.25,121.83,2.37,1.57,-1.1,125.16,1.92,1.61,-1.02,122.3,1.9,2.78,-1.94,124.91,3.39,2.01
2009070307,0.106,-1.15,119.92,2.31,1.49,-1.09,126.09,1.85,1.54,-0.98,122.62,1.82,2.64,-1.8,124.34,3.2,2.01
2009070308,0.138,-1.16,119.53,2.35,1.56,-1.21,127.98,1.97,1.49,-1.08,125.91,1.83,2.54,-1.77,124.82,3.1,2.04
2009070309,0.069,-1.2,120.06,2.39,1.72,-1.32,127.41,2.17,1.54,-1.19,127.73,1.94,2.5,-1.76,125.05,3.06,2.07
2009070310,0.053,-1.23,120.88,2.39,1.98,-1.3,123.33,2.36,1.74,-1.25,125.6,2.14,2.53,-1.71,124.06,3.06,2.05
2009070311,0.085,-1.25,121.36,2.41,2.33,-1.31,119.37,2.67,2.08,-1.32,122.39,2.47,2.67,-1.7,122.54,3.17,2.06
2009070312,0.069,-1.3,120.83,2.54,2.8,-1.56,119.18,3.21,2.52,-1.52,121.04,2.94,2.96,-1.83,121.66,3.48,2.18
2009070313,0.106,-2.19,122.81,4.05,3,-1.89,122.21,3.55,3.43,-2.15,122.04,4.05,3.53,-2.4,124.23,4.27,3.4
2009070314,0.143,-2.98,126.39,5.02,3.52,-2.37,123.92,4.24,3.98,-2.59,123.06,4.75,4.01,-2.91,125.97,4.96,4.04
2009070315,0.127,-3.62,128.13,5.86,4.05,-2.81,124.83,4.93,4.49,-3.05,124.2,5.43,4.53,-3.37,126.67,5.65,4.61
2009070316,0.159,-3.89,127.79,6.34,4.56,-3.15,124.63,5.54,4.87,-3.45,125.27,5.97,5.03,-3.77,126.85,6.29,5.01
2009070317,0.259,-3.93,126.56,6.59,5.02,-3.42,124.29,6.07,5.15,-3.76,126.17,6.38,5.48,-4.11,126.84,6.85,5.3
2009070318,0.455,-3.96,125.65,6.79,5.36,-3.71,124.71,6.52,5.36,-4.01,126.84,6.69,5.82,-4.37,126.89,7.28,5.52
2009070319,0.524,-4.13,125.93,7.05,5.55,-4.07,126.28,6.88,5.53,-4.19,127.2,6.94,6.02,-4.56,127.14,7.55,5.7
2009070320,0.497,-4.37,127.15,7.24,5.55,-4.39,128.31,7.08,5.59,-4.28,127.47,7.04,6,-4.61,127.58,7.57,5.77
2009070321,0.529,-4.53,128.94,7.21,5.36,-4.51,130.07,7.01,5.46,-4.25,127.88,6.92,5.67,-4.47,128.21,7.22,5.6
2009070322,0.492,-4.48,131.17,6.8,4.97,-4.34,131.11,6.6,5.08,-4.07,128.7,6.51,5.02,-4.08,129.11,6.47,5.12
2009070323,0.36,-4.21,133.77,6.09,4.4,-3.92,131.73,5.9,4.45,-3.77,130.27,5.83,4.18,-3.53,130.22,5.47,4.4
2009070400,0.212,-3.75,136.59,5.16,3.69,-3.37,132.44,5,3.61,-3.39,133.24,4.95,3.36,-2.94,131.23,4.47,3.55
2009070401,0.09,-2.78,133.78,4.01,2.62,-2.96,138.55,3.95,2.71,-2.41,131.63,3.62,2.8,-2.38,130.32,3.68,2.9
2009070402,0.074,-2.19,135,3.09,1.7,-2.49,145.66,3.02,2.21,-1.98,131.76,2.97,2.23,-2,131.94,2.99,2.19
2009070403,0.058,-1.66,133.42,2.41,1.12,-1.98,150.46,2.28,1.82,-1.69,132.91,2.49,1.83,-1.83,134.98,2.59,1.75
2009070404,0.021,-1.24,126.01,2.11,1.04,-1.45,144.21,1.78,1.49,-1.57,136.55,2.16,1.58,-1.77,138.26,2.37,1.71
2009070405,0.042,-0.99,118.2,2.09,1.27,-1.01,128.29,1.62,1.22,-1.51,141.1,1.94,1.44,-1.69,139.52,2.22,1.84
2009070406,0.037,-0.97,117.15,2.12,1.54,-0.8,117.42,1.73,1.03,-1.39,143.32,1.73,1.36,-1.41,136.06,1.96,1.89
2009070407,0.016,-1.19,125.79,2.03,1.61,-0.9,119.15,1.85,0.94,-1.11,139.73,1.46,1.32,-0.87,123.27,1.58,1.65
2009070408,0,-1.43,139.11,1.89,1.49,-1.13,127.2,1.87,0.91,-0.74,128.95,1.17,1.31,-0.21,99.21,1.33,1.24
2009070409,0,-1.42,148.86,1.66,1.23,-1.26,135.63,1.77,0.9,-0.35,111.15,0.97,1.33,0.32,76.69,1.37,0.86
2009070410,0,-0.99,145.64,1.2,0.91,-1.12,140.87,1.44,0.88,-0.02,91.41,0.88,1.4,0.54,69.09,1.5,0.68
2009070411,0,-0.38,117.57,0.82,0.68,-0.83,140.64,1.08,0.92,0.19,78.09,0.94,1.56,0.48,72.74,1.63,0.73
2009070412,0.016,0.06,86.4,1.01,0.73,-0.59,129.24,0.94,1.1,0.26,76.68,1.13,1.85,0.25,82.31,1.86,1.01
2009070413,0.037,-0.57,115.79,1.3,1.48,0.14,84.52,1.48,2.29,-0.1,92.4,2.29,2.08,0.03,89.05,2.08,1.17
2009070414,0.026,-0.74,111.34,2.05,2.01,-0.17,94.87,2.02,2.83,-0.54,100.82,2.88,2.67,-0.4,98.5,2.7,1.91
2009070415,0.011,-1.09,111.48,2.98,2.65,-0.68,104.43,2.74,3.39,-1.09,107.86,3.56,3.23,-1.08,108.45,3.41,2.77
2009070416,0.005,-1.56,113.45,3.93,3.33,-1.37,112.4,3.6,3.88,-1.74,114.08,4.25,3.72,-1.89,116.9,4.17,3.6
2009070417,0.021,-2.14,116.68,4.77,3.93,-2.12,118.35,4.47,4.29,-2.4,119.26,4.92,4.11,-2.7,123.29,4.92,4.26
2009070418,0.037,-2.8,121.32,5.39,4.35,-2.79,122.68,5.17,4.59,-3.01,123.27,5.49,4.36,-3.37,127.73,5.51,4.61
2009070419,0.042,-3.5,127.55,5.74,4.49,-3.26,125.98,5.54,4.76,-3.48,126.17,5.89,4.44,-3.8,130.57,5.84,4.55
2009070420,0.053,-4.05,133.93,5.83,4.34,-3.49,128.83,5.57,4.75,-3.74,128.22,6.05,4.32,-3.96,132.51,5.86,4.2
2009070421,0.085,-4.24,138.74,5.64,3.92,-3.49,131.63,5.25,4.53,-3.75,129.61,5.88,3.98,-3.86,134.12,5.55,3.72
2009070422,0.079,-3.93,140.45,5.09,3.29,-3.24,134.58,4.62,4.08,-3.48,130.46,5.36,3.45,-3.53,135.69,4.94,3.24
2009070423,0.058,-3.22,138.58,4.3,2.64,-2.81,136.74,3.85,3.52,-3.07,131.07,4.67,2.86,-3.04,136.8,4.18,2.84
2009070500,0.042,-2.3,131.82,3.45,2.21,-2.24,135.31,3.15,2.99,-2.67,131.82,4.01,2.4,-2.49,136.03,3.46,2.57
2009070501,0.032,-1.61,126.82,2.69,2.59,-2.43,133.12,3.55,2.2,-1.96,131.7,2.95,3.06,-1.14,110.49,3.26,2.15
2009070502,0.021,-1.08,115.69,2.49,2.28,-2.31,135.34,3.25,2.13,-1.55,125.96,2.63,3.03,-0.61,101.41,3.09,2.25
2009070503,0.016,-0.82,110.43,2.34,1.98,-2.27,138.92,3.01,2.01,-1.34,123.6,2.42,2.47,-0.45,100.32,2.51,2.19
2009070504,0.005,-0.92,117.33,2.01,1.61,-2.24,144.26,2.76,1.71,-1.38,128.86,2.19,1.63,-0.49,106.68,1.7,1.78
2009070505,0.021,-1.21,135.96,1.68,1.21,-2.13,150.42,2.45,1.27,-1.52,140.16,1.98,0.83,-0.43,117.6,0.93,1.17
2009070506,0.032,-1.42,157.54,1.53,0.8,-1.82,156.14,1.99,0.79,-1.58,153.33,1.76,0.42,0.04,84.74,0.42,0.59
2009070507,0.037,-1.34,170.79,1.36,0.45,-1.26,160.29,1.33,0.36,-1.39,165.38,1.43,0.66,1.1,30.95,1.28,0.22
2009070508,0.058,-0.99,179.19,0.99,0.2,-0.56,160.38,0.6,0,-0.9,180.23,0.9,1.32,2.3,29.98,2.65,0.01
2009070509,0.122,-0.44,196.75,0.46,0.11,0.1,49.09,0.15,-0.3,-0.11,249.8,0.32,2.11,3.04,34.69,3.7,-0.13
2009070510,0.159,0.23,308.36,0.36,0.23,0.57,21.6,0.62,-0.5,0.92,331.79,1.05,2.74,2.91,43.23,4,-0.29
2009070511,0.148,0.82,338.93,0.88,0.5,0.81,31.6,0.96,-0.47,1.82,345.52,1.88,3.14,2.15,55.67,3.81,-0.32
2009070512,0.185,1.15,357.13,1.15,0.87,0.78,47.97,1.17,-0.08,2.13,357.98,2.13,3.3,1.16,70.64,3.5,-0.06
2009070513,0.143,0.48,69.55,1.38,0.76,1.58,25.7,1.75,3.23,0.28,84.96,3.24,2.84,-0.38,97.56,2.87,1.29
2009070514,0.079,0,89.94,1.78,1.78,0.67,69.4,1.9,3.12,-0.45,98.24,3.15,3.1,-0.83,105.08,3.21,1.78
2009070515,0.021,-0.53,102.55,2.43,2.65,0.09,87.98,2.65,3.23,-1.1,108.83,3.41,3.56,-1.38,111.14,3.81,2.37
2009070516,0.085,-1.02,108.48,3.23,3.13,0.29,84.7,3.15,3.71,-1.71,114.81,4.08,4.14,-1.97,115.48,4.58,3.07
2009070517,0.053,-1.57,112.88,4.04,3.36,0.69,78.37,3.43,4.37,-2.34,118.2,4.96,4.74,-2.61,118.88,5.41,3.72
2009070518,0.042,-2.29,118.83,4.76,3.56,0.47,82.43,3.59,4.96,-3.05,121.57,5.83,5.27,-3.3,122.07,6.21,4.17
2009070519,0.106,-3.23,127.07,5.37,3.87,-0.88,102.83,3.97,5.27,-3.84,126.08,6.52,5.63,-4,125.39,6.9,4.28
2009070520,0.19,-4.11,134.45,5.88,4.13,-2.67,122.87,4.92,5.27,-4.52,130.63,6.94,5.75,-4.56,128.43,7.34,4.19
2009070521,0.206,-4.57,138.13,6.14,4.09,-3.89,133.52,5.64,5.02,-4.87,134.16,6.99,5.57,-4.82,130.87,7.37,4.1
2009070522,0.185,-4.36,136.64,6,3.59,-3.82,136.73,5.24,4.55,-4.73,136.1,6.56,5.05,-4.65,132.67,6.86,4.12
2009070523,0.317,-3.68,131.92,5.51,2.82,-2.92,135.98,4.06,3.94,-4.26,137.26,5.81,4.25,-4.17,134.46,5.96,4.1
2009070600,0.153,-2.85,126.66,4.77,2.05,-1.94,133.43,2.82,3.26,-3.73,138.82,4.95,3.29,-3.56,137.22,4.85,3.82
2009070601,0.048,-1.46,133.77,2.11,2.6,-3.31,141.84,4.2,2.3,-2.96,142.16,3.74,2.02,-2.59,142.08,3.29,1.53
2009070602,0.085,-1.34,134.95,1.9,2.12,-2.98,144.64,3.66,1.45,-2.37,148.57,2.78,1.35,-2.26,149.06,2.63,1.34
2009070603,0.138,-1.26,128.91,2,2,-2.68,143.35,3.35,0.96,-1.78,151.6,2.03,1.61,-2.12,142.83,2.66,1.56
2009070604,0.233,-1,114.61,2.39,2.34,-2.36,135.28,3.33,1,-1.2,140.4,1.56,2.46,-2.13,130.78,3.25,2.18
2009070605,0.37,-0.75,104.04,3.09,2.95,-2.09,125.33,3.62,1.48,-0.79,117.98,1.68,3.49,-2.2,122.24,4.13,3
2009070606,0.54,-0.8,102.07,3.84,3.55,-1.96,118.93,4.05,2.3,-0.72,107.28,2.41,4.24,-2.27,118.21,4.81,3.75
2009070607,0.54,-1.34,107.56,4.44,3.91,-2.04,117.52,4.41,3.31,-1.1,108.3,3.49,4.37,-2.27,117.49,4.93,4.23
2009070608,0.481,-2.12,115.59,4.9,4.03,-2.26,119.31,4.62,4.28,-1.72,111.88,4.62,4.13,-2.23,118.33,4.7,4.42
2009070609,0.471,-2.78,122.63,5.16,3.95,-2.55,122.78,4.7,4.96,-2.3,114.91,5.47,3.9,-2.18,119.14,4.47,4.35
2009070610,0.196,-3.09,127.31,5.11,3.73,-2.82,127.11,4.68,5.16,-2.63,117.02,5.8,3.96,-2.16,118.65,4.51,4.06
2009070611,0.153,-3.21,131.31,4.86,3.42,-3.12,132.36,4.63,5.01,-2.79,119.17,5.73,4.22,-2.27,118.27,4.8,3.65
2009070612,0.238,-3.39,136.44,4.68,3.1,-3.5,138.46,4.67,4.68,-2.94,122.17,5.53,4.52,-2.58,119.78,5.2,3.23
2009070613,0.132,-3.97,144.53,4.87,4.34,-3.19,126.32,5.39,4.69,-3.13,123.76,5.64,4.22,-2.5,120.61,4.9,2.83
2009070614,0.127,-4.42,148.63,5.17,4.09,-3.49,130.45,5.38,4.73,-3.74,128.34,6.03,4.37,-3,124.49,5.3,2.69
2009070615,0.201,-4.69,149.33,5.45,3.99,-3.73,133.09,5.46,4.66,-4.17,131.85,6.26,4.42,-3.42,127.76,5.59,2.78
2009070616,0.243,-4.68,146.32,5.63,4.07,-3.84,133.36,5.6,4.5,-4.26,133.44,6.2,4.38,-3.73,130.4,5.76,3.12
2009070617,0.344,-4.54,142.05,5.76,4.26,-3.86,132.14,5.75,4.33,-4.12,133.55,5.98,4.29,-3.88,132.08,5.78,3.54
2009070618,0.397,-4.45,139.43,5.86,4.45,-3.81,130.59,5.86,4.25,-3.93,132.74,5.79,4.17,-3.79,132.27,5.64,3.81
2009070619,0.45,-4.54,140.25,5.9,4.54,-3.75,129.54,5.89,4.3,-3.81,131.59,5.74,4.04,-3.46,130.56,5.32,3.77
2009070620,0.476,-4.67,142.42,5.89,4.56,-3.71,129.12,5.87,4.37,-3.74,130.53,5.75,3.91,-3.02,127.71,4.94,3.59
2009070621,0.497,-4.67,142.95,5.85,4.53,-3.7,129.28,5.85,4.33,-3.61,129.79,5.64,3.77,-2.67,125.25,4.62,3.52
2009070622,0.635,-4.38,139.76,5.73,4.46,-3.74,129.95,5.82,4.09,-3.37,129.49,5.3,3.64,-2.53,124.8,4.43,3.7
2009070623,0.619,-3.85,134.74,5.48,4.28,-3.69,130.77,5.65,3.76,-3.1,129.52,4.88,3.52,-2.54,125.9,4.34,3.89
2009070700,0.519,-3.2,130.55,4.92,3.87,-3.41,131.39,5.16,3.52,-2.92,129.68,4.58,3.41,-2.59,127.24,4.28,3.74
2009070701,0.413,-2.82,131.5,4.26,3.48,-2.89,129.76,4.52,3.31,-2.57,127.78,4.19,3.97,-2.89,126.08,4.91,3.19
2009070702,0.402,-2.13,131.02,3.25,3.48,-2.91,129.89,4.54,3.19,-2.47,127.67,4.04,3.62,-2.61,125.75,4.46,2.45
2009070703,0.291,-1.6,129.92,2.49,3.34,-2.84,130.33,4.38,3.01,-2.3,127.4,3.79,3.35,-2.35,124.96,4.09,1.91
2009070704,0.196,-1.42,128.9,2.27,2.93,-2.57,131.26,3.9,2.75,-2.1,127.37,3.45,3.16,-2.12,123.92,3.81,1.77
2009070705,0.148,-1.48,128.5,2.38,2.45,-2.21,132.08,3.3,2.45,-1.88,127.41,3.09,3.02,-1.97,123.13,3.61,1.86
2009070706,0.143,-1.57,128.47,2.52,2.18,-1.9,131.13,2.89,2.22,-1.68,127.1,2.78,2.94,-1.93,123.23,3.51,1.97
2009070707,0.09,-1.54,128.47,2.47,2.33,-1.78,127.41,2.93,2.12,-1.54,126.11,2.62,2.9,-2,124.57,3.52,1.93
2009070708,0.074,-1.47,128.26,2.38,2.75,-1.88,124.31,3.33,2.2,-1.56,125.34,2.7,2.9,-2.14,126.48,3.6,1.87
2009070709,0.116,-1.51,127.67,2.48,3.22,-2.2,124.43,3.9,2.53,-1.83,125.86,3.12,2.91,-2.28,128.08,3.69,1.96
2009070710,0.153,-1.76,127.1,2.92,3.54,-2.75,127.77,4.48,3.09,-2.37,127.53,3.89,2.94,-2.36,128.71,3.77,2.33
2009070711,0.169,-2.18,127.84,3.55,3.73,-3.35,131.91,5.01,3.72,-3.01,129,4.78,3.05,-2.38,127.95,3.87,2.8
2009070712,0.201,-2.7,130.5,4.16,3.82,-3.82,135.04,5.4,4.2,-3.49,129.76,5.46,3.34,-2.38,125.56,4.1,3.17
